                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4015,                 3.3682,                 2.0232,                0.31823,                0.31637,                 0.2918,                0.21141,                 1.1529,                 3.2836,                 1.9159,             0.00022421,             0.00022421,             0.00022421
                     36,                 1.4307,                 3.3919,                 2.0369,                0.45904,                 0.2749,                0.29807,                0.21632,                 1.1711,                 3.3086,                 1.9594,             0.00022091,             0.00022091,             0.00022091
                     37,                 1.4138,                 3.3396,                 2.0277,                0.30587,                0.34572,                 0.2941,                0.22206,                 1.0761,                 3.3209,                 1.8427,             0.00021762,             0.00021762,             0.00021762
                     38,                 1.3746,                 3.3382,                 1.9887,                 0.3856,                0.37738,                0.33617,                0.25009,                  1.066,                 3.1224,                 1.7684,             0.00021432,             0.00021432,             0.00021432
                     39,                 1.4015,                 3.2749,                 2.0039,                0.58401,                0.30785,                0.33146,                0.24759,                 1.0814,                 3.1854,                 1.7817,             0.00021102,             0.00021102,             0.00021102
                     40,                 1.3413,                 3.2046,                 1.9385,                0.26537,                0.38104,                0.34779,                0.25604,                 1.0636,                 3.2301,                 1.8042,             0.00020773,             0.00020773,             0.00020773
                     41,                 1.3848,                 3.2282,                  1.954,                0.40432,                0.39725,                0.37029,                 0.2831,                 1.0286,                 3.0892,                 1.7802,             0.00020443,             0.00020443,             0.00020443
                     42,                 1.3166,                 3.1961,                 1.9259,                0.40318,                0.41012,                0.36921,                0.28469,                 1.0631,                 3.0731,                 1.7805,             0.00020113,             0.00020113,             0.00020113
                     43,                 1.3651,                 3.2217,                 1.9411,                0.44051,                0.41889,                0.38014,                0.28803,                 1.0045,                 3.1926,                 1.7032,             0.00019784,             0.00019784,             0.00019784
                     44,                 1.3334,                 3.1701,                 1.9061,                0.52353,                0.32133,                0.39362,                0.29965,                 1.0451,                 3.0263,                 1.7935,             0.00019454,             0.00019454,             0.00019454
                     45,                 1.3548,                 3.1486,                 1.9388,                0.33806,                0.46249,                0.38418,                0.29008,                 1.0537,                 2.9823,                  1.727,             0.00019124,             0.00019124,             0.00019124
                     46,                 1.2463,                 3.0386,                 1.8547,                0.28466,                0.45393,                0.36768,                0.28781,                0.99132,                 2.9285,                 1.7177,             0.00018795,             0.00018795,             0.00018795
                     47,                 1.2412,                 3.0445,                 1.8587,                 0.5409,                 0.3309,                 0.3732,                0.28746,                 1.0559,                 2.9673,                 1.7571,             0.00018465,             0.00018465,             0.00018465
                     48,                 1.2925,                 3.0267,                 1.8724,                0.54426,                0.34773,                0.39104,                0.30674,                0.98085,                 2.8356,                 1.6973,             0.00018135,             0.00018135,             0.00018135
                     49,                 1.2503,                 2.9957,                 1.8452,                0.52623,                0.37696,                 0.4307,                0.32672,                 1.0234,                 2.8005,                 1.7154,             0.00017806,             0.00017806,             0.00017806
                     50,                 1.2573,                  2.968,                 1.8394,                0.25157,                0.55586,                0.40016,                0.30828,                0.97742,                 2.7535,                 1.6752,             0.00017476,             0.00017476,             0.00017476
                     51,                 1.2838,                 3.0349,                 1.8531,                0.38339,                  0.418,                0.38832,                0.31335,                0.96315,                 2.8029,                 1.6928,             0.00017146,             0.00017146,             0.00017146
                     52,                 1.2195,                 2.9463,                 1.8274,                0.34748,                0.53643,                0.41823,                0.34387,                0.90791,                 2.8242,                 1.6333,             0.00016817,             0.00016817,             0.00016817
                     53,                 1.2571,                 2.9966,                 1.8481,                0.28194,                 0.6021,                0.46024,                0.36992,                0.94487,                 2.7501,                 1.6575,             0.00016487,             0.00016487,             0.00016487
                     54,                   1.22,                   2.88,                 1.8119,                0.43607,                0.42775,                0.44699,                0.34953,                0.97643,                 2.6751,                 1.6762,             0.00016157,             0.00016157,             0.00016157
                     55,                 1.2171,                 2.8451,                 1.8232,                0.36065,                 0.5323,                0.42633,                0.34344,                0.91162,                 2.6595,                 1.6403,             0.00015827,             0.00015827,             0.00015827
                     56,                 1.2409,                 2.8862,                 1.8472,                0.27098,                0.53857,                0.46776,                0.36519,                0.95333,                 2.7104,                 1.6183,             0.00015498,             0.00015498,             0.00015498
                     57,                 1.2526,                 2.8756,                 1.8372,                0.26995,                0.55343,                 0.4771,                0.38605,                0.94395,                 2.5837,                  1.645,             0.00015168,             0.00015168,             0.00015168
                     58,                 1.2036,                 2.7957,                 1.7877,                0.32651,                0.60493,                0.42797,                0.34836,                0.91617,                 2.6039,                 1.6047,             0.00014838,             0.00014838,             0.00014838
                     59,                 1.1983,                 2.8089,                 1.7871,                0.30388,                0.56524,                0.45022,                0.34962,                0.97177,                 2.6352,                 1.6504,             0.00014509,             0.00014509,             0.00014509
                     60,                 1.1457,                 2.8031,                 1.7484,                0.35008,                0.60713,                0.50239,                0.40586,                0.86655,                 2.5586,                 1.5866,             0.00014179,             0.00014179,             0.00014179
                     61,                 1.1783,                 2.7805,                 1.7688,                  0.279,                0.60526,                0.48087,                0.38242,                0.89945,                 2.5408,                 1.6152,             0.00013849,             0.00013849,             0.00013849
                     62,                 1.1501,                 2.7887,                 1.7462,                 0.3858,                  0.601,                0.49819,                0.39848,                0.90586,                 2.4937,                 1.5976,              0.0001352,              0.0001352,              0.0001352
                     63,                 1.1579,                  2.713,                 1.7727,                0.44239,                0.51514,                0.51582,                0.41437,                 0.8717,                 2.4874,                 1.5818,              0.0001319,              0.0001319,              0.0001319
                     64,                 1.1878,                 2.7643,                 1.8037,                0.38519,                0.58003,                0.49553,                0.40097,                0.86741,                 2.4582,                 1.5908,              0.0001286,              0.0001286,              0.0001286
                     65,                 1.1252,                 2.6618,                 1.7377,                0.47616,                0.53222,                0.51758,                0.41899,                 0.8835,                 2.5345,                 1.5861,             0.00012531,             0.00012531,             0.00012531
                     66,                 1.1603,                 2.7699,                 1.7774,                0.32676,                0.55066,                0.51916,                0.41549,                0.88035,                 2.4683,                 1.5526,             0.00012201,             0.00012201,             0.00012201
                     67,                 1.1272,                 2.6442,                 1.7308,                0.37966,                0.53588,                0.52629,                0.42578,                0.85559,                 2.4373,                 1.5668,             0.00011871,             0.00011871,             0.00011871
